directory,gopr_folder,patch_number,patch_relpath,source_image_relpath,confidence,grabcut_applied
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3153,GOPR3153,18,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3153\Coral18.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3153.JPG,0.1659,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3154,GOPR3154,13,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3154\Coral13.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3154.JPG,0.269,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3154,GOPR3154,16,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3154\Coral16.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3154.JPG,0.2329,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3154,GOPR3154,18,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3154\Coral18.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3154.JPG,0.1987,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3154,GOPR3154,20,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3154\Coral20.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3154.JPG,0.1678,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3155,GOPR3155,7,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3155\Coral7.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3155.JPG,0.4103,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3155,GOPR3155,8,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3155\Coral8.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3155.JPG,0.369,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3155,GOPR3155,21,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3155\Coral21.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3155.JPG,0.1723,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3155,GOPR3155,22,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3155\Coral22.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3155.JPG,0.1712,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3155,GOPR3155,24,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3155\Coral24.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3155.JPG,0.1596,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3156,GOPR3156,9,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3156\Coral9.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3156.JPG,0.2375,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3156,GOPR3156,11,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3156\Coral11.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3156.JPG,0.2092,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3156,GOPR3156,14,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3156\Coral14.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3156.JPG,0.1543,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3157,GOPR3157,3,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3157\Coral3.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3157.JPG,0.2864,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3157,GOPR3157,6,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3157\Coral6.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3157.JPG,0.224,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3157,GOPR3157,7,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3157\Coral7.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3157.JPG,0.197,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3157,GOPR3157,10,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3157\Coral10.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3157.JPG,0.1665,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3157,GOPR3157,11,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3157\Coral11.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3157.JPG,0.1566,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3158,GOPR3158,23,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3158\Coral23.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3158.JPG,0.1793,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159,GOPR3159,6,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159\Coral6.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159.JPG,0.565,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159,GOPR3159,7,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159\Coral7.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159.JPG,0.5359,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159,GOPR3159,9,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159\Coral9.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159.JPG,0.4436,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159,GOPR3159,10,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159\Coral10.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159.JPG,0.429,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159,GOPR3159,14,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159\Coral14.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159.JPG,0.3695,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159,GOPR3159,15,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159\Coral15.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159.JPG,0.3513,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159,GOPR3159,16,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159\Coral16.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159.JPG,0.2898,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159,GOPR3159,22,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159\Coral22.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159.JPG,0.1887,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159,GOPR3159,24,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159\Coral24.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159.JPG,0.173,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159,GOPR3159,28,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159\Coral28.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159.JPG,0.1516,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3160,GOPR3160,9,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3160\Coral9.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3160.JPG,0.2081,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3160,GOPR3160,11,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3160\Coral11.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3160.JPG,0.1739,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3161,GOPR3161,1,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3161\Coral1.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3161.JPG,0.4116,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3161,GOPR3161,13,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3161\Coral13.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3161.JPG,0.1653,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3162,GOPR3162,7,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3162\Coral7.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3162.JPG,0.2146,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3162,GOPR3162,8,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3162\Coral8.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3162.JPG,0.1927,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3162,GOPR3162,9,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3162\Coral9.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3162.JPG,0.1923,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3162,GOPR3162,10,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3162\Coral10.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3162.JPG,0.169,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163,GOPR3163,4,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163\Coral4.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163.JPG,0.6455,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163,GOPR3163,6,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163\Coral6.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163.JPG,0.4977,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163,GOPR3163,8,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163\Coral8.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163.JPG,0.4675,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163,GOPR3163,15,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163\Coral15.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163.JPG,0.3104,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163,GOPR3163,17,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163\Coral17.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163.JPG,0.3055,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163,GOPR3163,18,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163\Coral18.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163.JPG,0.2428,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163,GOPR3163,19,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163\Coral19.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163.JPG,0.2321,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163,GOPR3163,23,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163\Coral23.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163.JPG,0.2029,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163,GOPR3163,24,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163\Coral24.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163.JPG,0.1922,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163,GOPR3163,25,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163\Coral25.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163.JPG,0.1794,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163,GOPR3163,27,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163\Coral27.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3163.JPG,0.152,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164,GOPR3164,8,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164\Coral8.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164.JPG,0.6264,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164,GOPR3164,13,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164\Coral13.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164.JPG,0.5263,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164,GOPR3164,23,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164\Coral23.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164.JPG,0.3919,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164,GOPR3164,24,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164\Coral24.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164.JPG,0.3702,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164,GOPR3164,26,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164\Coral26.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164.JPG,0.3457,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164,GOPR3164,28,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164\Coral28.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164.JPG,0.3273,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164,GOPR3164,44,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164\Coral44.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164.JPG,0.2271,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164,GOPR3164,45,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164\Coral45.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164.JPG,0.2192,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164,GOPR3164,49,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164\Coral49.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164.JPG,0.2081,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164,GOPR3164,50,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164\Coral50.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164.JPG,0.1924,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164,GOPR3164,52,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164\Coral52.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164.JPG,0.1627,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164,GOPR3164,55,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164\Coral55.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3164.JPG,0.1526,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165,GOPR3165,18,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165\Coral18.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165.JPG,0.4506,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165,GOPR3165,24,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165\Coral24.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165.JPG,0.4091,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165,GOPR3165,25,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165\Coral25.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165.JPG,0.3974,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165,GOPR3165,28,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165\Coral28.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165.JPG,0.3603,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165,GOPR3165,38,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165\Coral38.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165.JPG,0.2343,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165,GOPR3165,39,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165\Coral39.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165.JPG,0.2337,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165,GOPR3165,41,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165\Coral41.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165.JPG,0.2028,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165,GOPR3165,42,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165\Coral42.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165.JPG,0.1925,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165,GOPR3165,44,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165\Coral44.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165.JPG,0.177,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165,GOPR3165,45,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165\Coral45.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165.JPG,0.1589,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165,GOPR3165,46,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165\Coral46.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165.JPG,0.1551,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165,GOPR3165,48,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165\Coral48.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3165.JPG,0.1538,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166,GOPR3166,8,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166\Coral8.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166.JPG,0.577,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166,GOPR3166,13,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166\Coral13.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166.JPG,0.4992,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166,GOPR3166,14,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166\Coral14.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166.JPG,0.4944,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166,GOPR3166,15,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166\Coral15.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166.JPG,0.477,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166,GOPR3166,19,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166\Coral19.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166.JPG,0.4327,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166,GOPR3166,20,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166\Coral20.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166.JPG,0.4231,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166,GOPR3166,26,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166\Coral26.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166.JPG,0.3531,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166,GOPR3166,28,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166\Coral28.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166.JPG,0.3504,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166,GOPR3166,29,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166\Coral29.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166.JPG,0.3004,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166,GOPR3166,31,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166\Coral31.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166.JPG,0.2778,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166,GOPR3166,32,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166\Coral32.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166.JPG,0.2728,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166,GOPR3166,34,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166\Coral34.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166.JPG,0.2552,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166,GOPR3166,35,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166\Coral35.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166.JPG,0.2528,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166,GOPR3166,40,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166\Coral40.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166.JPG,0.2097,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166,GOPR3166,42,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166\Coral42.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166.JPG,0.18,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166,GOPR3166,43,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166\Coral43.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166.JPG,0.1789,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166,GOPR3166,44,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166\Coral44.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166.JPG,0.1715,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167,GOPR3167,8,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167\Coral8.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167.JPG,0.696,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167,GOPR3167,18,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167\Coral18.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167.JPG,0.5575,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167,GOPR3167,23,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167\Coral23.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167.JPG,0.5242,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167,GOPR3167,25,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167\Coral25.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167.JPG,0.4866,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167,GOPR3167,32,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167\Coral32.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167.JPG,0.3895,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167,GOPR3167,33,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167\Coral33.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167.JPG,0.3893,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167,GOPR3167,38,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167\Coral38.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167.JPG,0.2905,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167,GOPR3167,41,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167\Coral41.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167.JPG,0.2376,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167,GOPR3167,42,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167\Coral42.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167.JPG,0.2263,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167,GOPR3167,43,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167\Coral43.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167.JPG,0.2062,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167,GOPR3167,44,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167\Coral44.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167.JPG,0.2046,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167,GOPR3167,45,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167\Coral45.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167.JPG,0.2023,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167,GOPR3167,46,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167\Coral46.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167.JPG,0.1848,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167,GOPR3167,47,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167\Coral47.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167.JPG,0.1661,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167,GOPR3167,48,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167\Coral48.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167.JPG,0.1555,False
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167,GOPR3167,50,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167\Coral50.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167.JPG,0.1514,True
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167,GOPR3167,51,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167\Coral51.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167.JPG,0.1513,False
