image_relpath,num_detections
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3233.JPG,8
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3234.JPG,8
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3235.JPG,8
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3236.JPG,10
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3237.JPG,8
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3238.JPG,3
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3240.JPG,9
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3241.JPG,13
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3242.JPG,25
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3243.JPG,13
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3244.JPG,8
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3245.JPG,17
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3246.JPG,17
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3247.JPG,26
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3248.JPG,27
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2916.JPG,16
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2917.JPG,15
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2918.JPG,36
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2919.JPG,28
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2920.JPG,13
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2921.JPG,13
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2922.JPG,4
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2923.JPG,8
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2924.JPG,37
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2925.JPG,14
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2926.JPG,5
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2927.JPG,1
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2928.JPG,2
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2929.JPG,3
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2930.JPG,0
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2931.JPG,9
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2932.JPG,64
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2933.JPG,21
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2934.JPG,11
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2935.JPG,11
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2936.JPG,28
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2937.JPG,30
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2938.JPG,25
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2939.JPG,14
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2940.JPG,26
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2941.JPG,12
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2942.JPG,38
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2943.JPG,19
