epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1873.98,1.49752,1.39672,1.66098,0.6361,0.57573,0.61487,0.31331,1.65077,1.38712,1.83071,0.00062875,0.00062875,0.00062875
77,1898.59,1.46348,1.38824,1.64942,0.62797,0.57518,0.6227,0.31951,1.6183,1.3321,1.83514,0.0006238,0.0006238,0.0006238
78,1923.2,1.45556,1.35919,1.63352,0.6242,0.5895,0.61105,0.31142,1.64714,1.3835,1.83529,0.00061885,0.00061885,0.00061885
79,1947.79,1.45144,1.36216,1.62933,0.63842,0.58152,0.62626,0.31332,1.63104,1.33596,1.84927,0.0006139,0.0006139,0.0006139
80,1972.42,1.47164,1.36866,1.64931,0.63167,0.60263,0.64503,0.33436,1.59132,1.30756,1.79006,0.00060895,0.00060895,0.00060895
81,1997,1.44716,1.34481,1.63619,0.67065,0.60261,0.66138,0.33712,1.59251,1.28003,1.78034,0.000604,0.000604,0.000604
82,2021.6,1.46288,1.34399,1.63324,0.66278,0.60263,0.64262,0.33248,1.63949,1.30996,1.84131,0.00059905,0.00059905,0.00059905
83,2046.23,1.44313,1.34648,1.62798,0.66332,0.57836,0.63147,0.32338,1.6093,1.33182,1.79591,0.0005941,0.0005941,0.0005941
84,2070.98,1.42876,1.30195,1.59892,0.65033,0.63007,0.65225,0.3338,1.59538,1.31841,1.79198,0.00058915,0.00058915,0.00058915
85,2095.67,1.43036,1.30356,1.62315,0.62465,0.60979,0.65145,0.3368,1.58983,1.30458,1.80522,0.0005842,0.0005842,0.0005842
86,2120.43,1.43117,1.30887,1.60276,0.66997,0.60143,0.65008,0.327,1.62318,1.30362,1.81222,0.00057925,0.00057925,0.00057925
87,2144.97,1.42262,1.3153,1.61108,0.65295,0.59189,0.64207,0.32174,1.59497,1.32608,1.81454,0.0005743,0.0005743,0.0005743
88,2169.5,1.42145,1.29915,1.60327,0.65175,0.59308,0.6403,0.3248,1.59356,1.31388,1.80338,0.00056935,0.00056935,0.00056935
89,2194.06,1.40767,1.26853,1.5995,0.65713,0.58234,0.62688,0.31935,1.58748,1.31069,1.80586,0.0005644,0.0005644,0.0005644
90,2218.6,1.41477,1.28921,1.60719,0.64866,0.59266,0.63408,0.32016,1.64046,1.33218,1.83252,0.00055945,0.00055945,0.00055945
91,2243.15,1.40856,1.28496,1.58832,0.62689,0.58711,0.62154,0.31146,1.64745,1.33392,1.84063,0.0005545,0.0005545,0.0005545
92,2267.71,1.42003,1.28038,1.60517,0.68095,0.61933,0.66337,0.33761,1.61453,1.29215,1.81193,0.00054955,0.00054955,0.00054955
93,2292.31,1.39699,1.27682,1.58466,0.68205,0.60412,0.65578,0.34082,1.58971,1.28926,1.80985,0.0005446,0.0005446,0.0005446
94,2316.89,1.40757,1.27489,1.59222,0.68735,0.5895,0.66065,0.33957,1.60265,1.24702,1.80914,0.00053965,0.00053965,0.00053965
95,2341.47,1.37933,1.24592,1.57361,0.68838,0.57279,0.651,0.33084,1.59411,1.27074,1.79244,0.0005347,0.0005347,0.0005347
96,2366.06,1.40517,1.2442,1.58088,0.67336,0.61254,0.64679,0.32859,1.60997,1.27327,1.81568,0.00052975,0.00052975,0.00052975
97,2390.65,1.41015,1.25926,1.57748,0.70326,0.57409,0.66346,0.33465,1.64626,1.26856,1.83091,0.0005248,0.0005248,0.0005248
98,2415.23,1.37556,1.23641,1.57707,0.67241,0.62053,0.66887,0.33952,1.61577,1.30631,1.82749,0.00051985,0.00051985,0.00051985
99,2439.83,1.38274,1.21802,1.56418,0.67763,0.57693,0.64304,0.33773,1.61538,1.30014,1.82938,0.0005149,0.0005149,0.0005149
100,2464.38,1.37746,1.21429,1.56805,0.60922,0.63126,0.64285,0.33173,1.57156,1.29844,1.79294,0.00050995,0.00050995,0.00050995
101,2488.94,1.3976,1.23903,1.58433,0.67031,0.61868,0.6537,0.33372,1.61584,1.28816,1.80526,0.000505,0.000505,0.000505
102,2513.49,1.37476,1.21256,1.55635,0.64862,0.642,0.65128,0.33302,1.6176,1.27558,1.80732,0.00050005,0.00050005,0.00050005
103,2538.05,1.3675,1.20461,1.54991,0.66705,0.63723,0.66489,0.33112,1.6436,1.28428,1.82118,0.0004951,0.0004951,0.0004951
104,2562.6,1.37133,1.20806,1.55165,0.63417,0.6268,0.66453,0.34539,1.60246,1.28905,1.79553,0.00049015,0.00049015,0.00049015
105,2587.21,1.36354,1.19624,1.54588,0.70241,0.61217,0.67616,0.35136,1.61063,1.28084,1.83294,0.0004852,0.0004852,0.0004852
106,2611.82,1.35794,1.18506,1.53462,0.7397,0.58831,0.66269,0.34339,1.61042,1.2837,1.81116,0.00048025,0.00048025,0.00048025
107,2636.4,1.36175,1.17479,1.53885,0.65364,0.63842,0.66493,0.34042,1.62079,1.25167,1.81625,0.0004753,0.0004753,0.0004753
108,2660.98,1.35108,1.16983,1.53182,0.67437,0.60382,0.66921,0.34802,1.61132,1.23768,1.80396,0.00047035,0.00047035,0.00047035
109,2685.55,1.34975,1.17755,1.54014,0.70639,0.61456,0.67337,0.34527,1.62451,1.21767,1.80692,0.0004654,0.0004654,0.0004654
110,2710.2,1.35274,1.15647,1.52893,0.7157,0.60983,0.67568,0.34882,1.62342,1.22586,1.81872,0.00046045,0.00046045,0.00046045
111,2734.74,1.34219,1.14832,1.5211,0.67948,0.62649,0.676,0.35367,1.58141,1.21351,1.77658,0.0004555,0.0004555,0.0004555
112,2759.39,1.35062,1.15398,1.52689,0.70062,0.61718,0.67992,0.36362,1.5612,1.22282,1.76119,0.00045055,0.00045055,0.00045055
113,2783.98,1.33596,1.13991,1.51603,0.66118,0.63806,0.67773,0.35692,1.57368,1.23569,1.77279,0.0004456,0.0004456,0.0004456
